statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2009;MONAT;Monate;MONAT05;Mai;DINSG;Deutschland insgesamt;DG;Deutschland;-;%;PREIS1;in;
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2009;MONAT;Monate;MONAT05;Mai;DINSG;Deutschland insgesamt;DG;Deutschland;0,1;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2009;MONAT;Monate;MONAT05;Mai;DINSG;Deutschland insgesamt;DG;Deutschland;87,0;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;1997;MONAT;Monate;MONAT04;April;DINSG;Deutschland insgesamt;DG;Deutschland;-0,1;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;1997;MONAT;Monate;MONAT04;April;DINSG;Deutschland insgesamt;DG;Deutschland;1,5;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;1997;MONAT;Monate;MONAT04;April;DINSG;Deutschland insgesamt;DG;Deutschland;72,9;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2001;MONAT;Monate;MONAT08;August;DINSG;Deutschland insgesamt;DG;Deutschland;-0,3;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2001;MONAT;Monate;MONAT08;August;DINSG;Deutschland insgesamt;DG;Deutschland;2,1;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2001;MONAT;Monate;MONAT08;August;DINSG;Deutschland insgesamt;DG;Deutschland;77,2;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2013;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;0,2;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2013;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;1,4;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2013;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;93,5;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2014;MONAT;Monate;MONAT03;März;DINSG;Deutschland insgesamt;DG;Deutschland;0,2;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2014;MONAT;Monate;MONAT03;März;DINSG;Deutschland insgesamt;DG;Deutschland;1,1;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2014;MONAT;Monate;MONAT03;März;DINSG;Deutschland insgesamt;DG;Deutschland;94,0;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;1998;MONAT;Monate;MONAT08;August;DINSG;Deutschland insgesamt;DG;Deutschland;-0,3;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;1998;MONAT;Monate;MONAT08;August;DINSG;Deutschland insgesamt;DG;Deutschland;0,5;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;1998;MONAT;Monate;MONAT08;August;DINSG;Deutschland insgesamt;DG;Deutschland;74,2;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2019;MONAT;Monate;MONAT05;Mai;DINSG;Deutschland insgesamt;DG;Deutschland;0,2;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2019;MONAT;Monate;MONAT05;Mai;DINSG;Deutschland insgesamt;DG;Deutschland;1,4;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2019;MONAT;Monate;MONAT05;Mai;DINSG;Deutschland insgesamt;DG;Deutschland;99,6;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2025;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;0,3;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2025;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;2,0;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2025;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;122,2;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2008;MONAT;Monate;MONAT01;Januar;DINSG;Deutschland insgesamt;DG;Deutschland;-0,3;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2008;MONAT;Monate;MONAT01;Januar;DINSG;Deutschland insgesamt;DG;Deutschland;2,8;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2008;MONAT;Monate;MONAT01;Januar;DINSG;Deutschland insgesamt;DG;Deutschland;85,8;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2020;MONAT;Monate;MONAT05;Mai;DINSG;Deutschland insgesamt;DG;Deutschland;-;%;PREIS1;in;
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2020;MONAT;Monate;MONAT05;Mai;DINSG;Deutschland insgesamt;DG;Deutschland;0,8;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2020;MONAT;Monate;MONAT05;Mai;DINSG;Deutschland insgesamt;DG;Deutschland;100,4;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2005;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;0,5;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2005;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;1,6;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2005;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;81,7;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2017;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;-0,1;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2017;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;1,4;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2017;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;96,9;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2011;MONAT;Monate;MONAT08;August;DINSG;Deutschland insgesamt;DG;Deutschland;0,1;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2011;MONAT;Monate;MONAT08;August;DINSG;Deutschland insgesamt;DG;Deutschland;2,2;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2011;MONAT;Monate;MONAT08;August;DINSG;Deutschland insgesamt;DG;Deutschland;90,2;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2019;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;0,3;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2019;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;1,6;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2019;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;99,9;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2023;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;-0,4;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2023;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;3,2;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2023;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;117,3;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2000;MONAT;Monate;MONAT05;Mai;DINSG;Deutschland insgesamt;DG;Deutschland;-;%;PREIS1;in;
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2000;MONAT;Monate;MONAT05;Mai;DINSG;Deutschland insgesamt;DG;Deutschland;0,9;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2000;MONAT;Monate;MONAT05;Mai;DINSG;Deutschland insgesamt;DG;Deutschland;75,1;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2010;MONAT;Monate;MONAT04;April;DINSG;Deutschland insgesamt;DG;Deutschland;-;%;PREIS1;in;
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2010;MONAT;Monate;MONAT04;April;DINSG;Deutschland insgesamt;DG;Deutschland;1,3;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2010;MONAT;Monate;MONAT04;April;DINSG;Deutschland insgesamt;DG;Deutschland;88,1;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2018;MONAT;Monate;MONAT01;Januar;DINSG;Deutschland insgesamt;DG;Deutschland;-0,5;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2018;MONAT;Monate;MONAT01;Januar;DINSG;Deutschland insgesamt;DG;Deutschland;1,4;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2018;MONAT;Monate;MONAT01;Januar;DINSG;Deutschland insgesamt;DG;Deutschland;96,4;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2024;MONAT;Monate;MONAT04;April;DINSG;Deutschland insgesamt;DG;Deutschland;0,5;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2024;MONAT;Monate;MONAT04;April;DINSG;Deutschland insgesamt;DG;Deutschland;2,2;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2024;MONAT;Monate;MONAT04;April;DINSG;Deutschland insgesamt;DG;Deutschland;119,2;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2004;MONAT;Monate;MONAT03;März;DINSG;Deutschland insgesamt;DG;Deutschland;0,4;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2004;MONAT;Monate;MONAT03;März;DINSG;Deutschland insgesamt;DG;Deutschland;1,1;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2004;MONAT;Monate;MONAT03;März;DINSG;Deutschland insgesamt;DG;Deutschland;79,9;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2008;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;0,2;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2008;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;1,0;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2008;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;87,0;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2021;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;0,3;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2021;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;4,1;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2021;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;103,8;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2003;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;-;%;PREIS1;in;
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2003;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;1,2;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2003;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;79,0;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2015;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;-;%;PREIS1;in;
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2015;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;1,0;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2015;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;94,9;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;1996;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;-0,1;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;1996;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;1,4;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;1996;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;72,0;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;1997;MONAT;Monate;MONAT05;Mai;DINSG;Deutschland insgesamt;DG;Deutschland;0,3;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;1997;MONAT;Monate;MONAT05;Mai;DINSG;Deutschland insgesamt;DG;Deutschland;1,7;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;1997;MONAT;Monate;MONAT05;Mai;DINSG;Deutschland insgesamt;DG;Deutschland;73,1;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2013;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;-0,2;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2013;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;1,2;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2013;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;93,3;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2001;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;-;%;PREIS1;in;
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2001;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;1,8;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2001;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;77,2;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;1998;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;-0,3;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;1998;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;0,4;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;1998;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;74,0;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2007;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;0,2;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2007;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;2,8;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2007;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;85,1;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2018;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;-;%;PREIS1;in;
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2018;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;1,7;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2018;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;98,5;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2025;MONAT;Monate;MONAT08;August;DINSG;Deutschland insgesamt;DG;Deutschland;0,1;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2025;MONAT;Monate;MONAT08;August;DINSG;Deutschland insgesamt;DG;Deutschland;2,2;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2025;MONAT;Monate;MONAT08;August;DINSG;Deutschland insgesamt;DG;Deutschland;122,3;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2019;MONAT;Monate;MONAT04;April;DINSG;Deutschland insgesamt;DG;Deutschland;0,9;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2019;MONAT;Monate;MONAT04;April;DINSG;Deutschland insgesamt;DG;Deutschland;1,9;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2019;MONAT;Monate;MONAT04;April;DINSG;Deutschland insgesamt;DG;Deutschland;99,4;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2020;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;0,1;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2020;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;0,6;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2020;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;100,5;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2014;MONAT;Monate;MONAT02;Februar;DINSG;Deutschland insgesamt;DG;Deutschland;0,5;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2014;MONAT;Monate;MONAT02;Februar;DINSG;Deutschland insgesamt;DG;Deutschland;1,3;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2014;MONAT;Monate;MONAT02;Februar;DINSG;Deutschland insgesamt;DG;Deutschland;93,8;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;1996;MONAT;Monate;MONAT01;Januar;DINSG;Deutschland insgesamt;DG;Deutschland;0,3;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;1996;MONAT;Monate;MONAT01;Januar;DINSG;Deutschland insgesamt;DG;Deutschland;1,4;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;1996;MONAT;Monate;MONAT01;Januar;DINSG;Deutschland insgesamt;DG;Deutschland;71,4;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2005;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;0,1;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2005;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;1,2;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2005;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;81,3;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2023;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;-;%;PREIS1;in;
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2023;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;3,8;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2023;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;117,8;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2011;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;0,1;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2011;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;2,4;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2011;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;90,3;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2000;MONAT;Monate;MONAT04;April;DINSG;Deutschland insgesamt;DG;Deutschland;-;%;PREIS1;in;
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2000;MONAT;Monate;MONAT04;April;DINSG;Deutschland insgesamt;DG;Deutschland;0,9;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2000;MONAT;Monate;MONAT04;April;DINSG;Deutschland insgesamt;DG;Deutschland;75,1;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2017;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;-0,4;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2017;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;1,6;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2017;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;96,5;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2010;MONAT;Monate;MONAT05;Mai;DINSG;Deutschland insgesamt;DG;Deutschland;-;%;PREIS1;in;
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2010;MONAT;Monate;MONAT05;Mai;DINSG;Deutschland insgesamt;DG;Deutschland;1,3;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2010;MONAT;Monate;MONAT05;Mai;DINSG;Deutschland insgesamt;DG;Deutschland;88,1;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2024;MONAT;Monate;MONAT03;März;DINSG;Deutschland insgesamt;DG;Deutschland;0,4;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2024;MONAT;Monate;MONAT03;März;DINSG;Deutschland insgesamt;DG;Deutschland;2,2;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2024;MONAT;Monate;MONAT03;März;DINSG;Deutschland insgesamt;DG;Deutschland;118,6;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2004;MONAT;Monate;MONAT02;Februar;DINSG;Deutschland insgesamt;DG;Deutschland;0,3;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2004;MONAT;Monate;MONAT02;Februar;DINSG;Deutschland insgesamt;DG;Deutschland;0,8;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2004;MONAT;Monate;MONAT02;Februar;DINSG;Deutschland insgesamt;DG;Deutschland;79,6;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;1996;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;0,4;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;1996;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;1,5;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;1996;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;72,3;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2008;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;-0,5;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2008;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;1,4;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2008;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;86,8;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2015;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;0,2;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2015;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;0,8;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2015;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;95,1;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2009;MONAT;Monate;MONAT04;April;DINSG;Deutschland insgesamt;DG;Deutschland;-;%;PREIS1;in;
